Timestamp,FileName,ProcessType,Parameter
2026-04-02 14:38:08,스크린샷 2025-10-19 210115.png,load,-
2026-04-02 14:38:11,스크린샷 2025-10-19 210115.png,blur,1
2026-04-02 14:38:11,스크린샷 2025-10-19 210115.png,blur,2
2026-04-02 14:38:11,스크린샷 2025-10-19 210115.png,blur,3
2026-04-02 14:38:11,스크린샷 2025-10-19 210115.png,blur,4
2026-04-02 14:38:11,스크린샷 2025-10-19 210115.png,blur,5
2026-04-02 14:38:11,스크린샷 2025-10-19 210115.png,blur,6
2026-04-02 14:38:11,스크린샷 2025-10-19 210115.png,blur,7
2026-04-02 14:38:11,스크린샷 2025-10-19 210115.png,blur,8
2026-04-02 14:38:11,스크린샷 2025-10-19 210115.png,blur,9
2026-04-02 14:38:11,스크린샷 2025-10-19 210115.png,blur,10
2026-04-02 14:38:11,스크린샷 2025-10-19 210115.png,blur,11
2026-04-02 14:38:11,스크린샷 2025-10-19 210115.png,blur,12
2026-04-02 14:38:11,스크린샷 2025-10-19 210115.png,blur,13
2026-04-02 14:38:11,스크린샷 2025-10-19 210115.png,blur,14
2026-04-02 14:38:11,스크린샷 2025-10-19 210115.png,blur,15
2026-04-02 14:38:11,스크린샷 2025-10-19 210115.png,blur,16
2026-04-02 14:38:11,스크린샷 2025-10-19 210115.png,blur,17
2026-04-02 14:38:11,스크린샷 2025-10-19 210115.png,blur,18
2026-04-02 14:38:11,스크린샷 2025-10-19 210115.png,blur,19
2026-04-02 14:38:11,스크린샷 2025-10-19 210115.png,blur,20
2026-04-02 14:38:11,스크린샷 2025-10-19 210115.png,blur,19
2026-04-02 14:38:11,스크린샷 2025-10-19 210115.png,blur,18
2026-04-02 14:38:11,스크린샷 2025-10-19 210115.png,blur,16
2026-04-02 14:38:11,스크린샷 2025-10-19 210115.png,blur,15
2026-04-02 14:38:11,스크린샷 2025-10-19 210115.png,blur,14
2026-04-02 14:38:11,스크린샷 2025-10-19 210115.png,blur,12
2026-04-02 14:38:11,스크린샷 2025-10-19 210115.png,blur,11
2026-04-02 14:38:11,스크린샷 2025-10-19 210115.png,blur,10
2026-04-02 14:38:11,스크린샷 2025-10-19 210115.png,blur,9
2026-04-02 14:38:11,스크린샷 2025-10-19 210115.png,blur,8
2026-04-02 14:38:11,스크린샷 2025-10-19 210115.png,blur,7
2026-04-02 14:38:11,스크린샷 2025-10-19 210115.png,blur,6
2026-04-02 14:38:11,스크린샷 2025-10-19 210115.png,blur,5
2026-04-02 14:38:11,스크린샷 2025-10-19 210115.png,blur,4
2026-04-02 14:38:11,스크린샷 2025-10-19 210115.png,blur,3
2026-04-02 14:38:11,스크린샷 2025-10-19 210115.png,blur,2
2026-04-02 14:38:11,스크린샷 2025-10-19 210115.png,blur,1
2026-04-02 14:38:11,스크린샷 2025-10-19 210115.png,blur,0
2026-04-02 14:38:12,스크린샷 2025-10-19 210115.png,blur,1
2026-04-02 14:38:12,스크린샷 2025-10-19 210115.png,blur,2
2026-04-02 14:38:12,스크린샷 2025-10-19 210115.png,blur,3
2026-04-02 14:38:12,스크린샷 2025-10-19 210115.png,blur,4
2026-04-02 14:38:12,스크린샷 2025-10-19 210115.png,blur,5
2026-04-02 14:38:12,스크린샷 2025-10-19 210115.png,blur,6
2026-04-02 14:38:12,스크린샷 2025-10-19 210115.png,blur,7
2026-04-02 14:38:12,스크린샷 2025-10-19 210115.png,blur,8
2026-04-02 14:38:12,스크린샷 2025-10-19 210115.png,blur,9
2026-04-02 14:38:12,스크린샷 2025-10-19 210115.png,blur,10
2026-04-02 14:38:12,스크린샷 2025-10-19 210115.png,blur,11
2026-04-02 14:38:12,스크린샷 2025-10-19 210115.png,blur,12
2026-04-02 14:38:12,스크린샷 2025-10-19 210115.png,blur,13
2026-04-02 14:38:12,스크린샷 2025-10-19 210115.png,blur,14
2026-04-02 14:38:12,스크린샷 2025-10-19 210115.png,blur,15
2026-04-02 14:38:12,스크린샷 2025-10-19 210115.png,blur,16
2026-04-02 14:38:12,스크린샷 2025-10-19 210115.png,blur,17
2026-04-02 14:38:12,스크린샷 2025-10-19 210115.png,blur,18
2026-04-02 14:38:12,스크린샷 2025-10-19 210115.png,blur,19
2026-04-02 14:38:12,스크린샷 2025-10-19 210115.png,blur,20
2026-04-02 14:38:13,스크린샷 2025-10-19 210115.png,blur,19
2026-04-02 14:38:13,스크린샷 2025-10-19 210115.png,blur,17
2026-04-02 14:38:13,스크린샷 2025-10-19 210115.png,blur,15
2026-04-02 14:38:13,스크린샷 2025-10-19 210115.png,blur,13
2026-04-02 14:38:13,스크린샷 2025-10-19 210115.png,blur,11
2026-04-02 14:38:13,스크린샷 2025-10-19 210115.png,blur,10
2026-04-02 14:38:13,스크린샷 2025-10-19 210115.png,blur,8
2026-04-02 14:38:13,스크린샷 2025-10-19 210115.png,blur,7
2026-04-02 14:38:13,스크린샷 2025-10-19 210115.png,blur,6
2026-04-02 14:38:13,스크린샷 2025-10-19 210115.png,blur,5
2026-04-02 14:38:13,스크린샷 2025-10-19 210115.png,blur,4
2026-04-02 14:38:13,스크린샷 2025-10-19 210115.png,blur,3
2026-04-02 14:38:13,스크린샷 2025-10-19 210115.png,blur,2
2026-04-02 14:38:13,스크린샷 2025-10-19 210115.png,blur,1
2026-04-02 14:38:13,스크린샷 2025-10-19 210115.png,blur,0
2026-04-02 14:38:14,스크린샷 2025-10-19 210115.png,grayscale,-
2026-04-02 14:38:15,스크린샷 2025-10-19 210115.png,grayscale,-
2026-04-02 14:38:15,스크린샷 2025-10-19 210115.png,grayscale,-
2026-04-02 14:38:16,스크린샷 2025-10-19 210115.png,grayscale,-
2026-04-02 14:38:16,스크린샷 2025-10-19 210115.png,grayscale,-
2026-04-02 14:38:17,스크린샷 2025-10-19 210115.png,canny_edge,100/200
2026-04-02 14:38:18,스크린샷 2025-10-19 210115.png,reset,-
2026-04-02 14:38:21,스크린샷 2025-10-19 210115.png,color_filter,blue
2026-04-02 14:38:23,스크린샷 2025-10-19 210115.png,color_filter,green
2026-04-02 14:38:25,스크린샷 2025-10-19 210115.png,color_filter,red
2026-04-02 14:38:26,스크린샷 2025-10-19 210115.png,color_filter,red
2026-04-02 14:38:28,스크린샷 2025-10-19 210115.png,reset,-
